,filename,_primary_labels,_secondary_labels,_from_s,_to_s,_year,_month,latitude,longitude,rating,_source,row_id,site,birds
2184,51010_SSW_20170513.ogg,norcar,,120,125,2017,5,42.47,-76.45,5.0,long,51010_SSW_125,SSW,nocall
2190,51010_SSW_20170513.ogg,rewbla,,150,155,2017,5,42.47,-76.45,5.0,long,51010_SSW_155,SSW,nocall
2197,51010_SSW_20170513.ogg,rewbla,,185,190,2017,5,42.47,-76.45,5.0,long,51010_SSW_190,SSW,nocall
2203,51010_SSW_20170513.ogg,blujay,,215,220,2017,5,42.47,-76.45,5.0,long,51010_SSW_220,SSW,nocall
2216,51010_SSW_20170513.ogg,balori rebwoo,,280,285,2017,5,42.47,-76.45,5.0,long,51010_SSW_285,SSW,balori
2217,51010_SSW_20170513.ogg,balori comgra,,285,290,2017,5,42.47,-76.45,5.0,long,51010_SSW_290,SSW,comgra
2218,51010_SSW_20170513.ogg,balori rewbla,,290,295,2017,5,42.47,-76.45,5.0,long,51010_SSW_295,SSW,balori
2229,51010_SSW_20170513.ogg,rewbla,,345,350,2017,5,42.47,-76.45,5.0,long,51010_SSW_350,SSW,nocall
2235,51010_SSW_20170513.ogg,grycat,,375,380,2017,5,42.47,-76.45,5.0,long,51010_SSW_380,SSW,nocall
2236,51010_SSW_20170513.ogg,balori grycat,,380,385,2017,5,42.47,-76.45,5.0,long,51010_SSW_385,SSW,balori
2237,51010_SSW_20170513.ogg,balori grycat,,385,390,2017,5,42.47,-76.45,5.0,long,51010_SSW_390,SSW,balori
2238,51010_SSW_20170513.ogg,balori grycat,,390,395,2017,5,42.47,-76.45,5.0,long,51010_SSW_395,SSW,grycat
2243,51010_SSW_20170513.ogg,balori grycat,,415,420,2017,5,42.47,-76.45,5.0,long,51010_SSW_420,SSW,grycat
2246,51010_SSW_20170513.ogg,balori grycat,,430,435,2017,5,42.47,-76.45,5.0,long,51010_SSW_435,SSW,balori
2247,51010_SSW_20170513.ogg,balori grycat,,435,440,2017,5,42.47,-76.45,5.0,long,51010_SSW_440,SSW,grycat
2249,51010_SSW_20170513.ogg,grycat,,445,450,2017,5,42.47,-76.45,5.0,long,51010_SSW_450,SSW,nocall
2250,51010_SSW_20170513.ogg,balori grycat sonspa,,450,455,2017,5,42.47,-76.45,5.0,long,51010_SSW_455,SSW,balori
2251,51010_SSW_20170513.ogg,balori grycat sonspa,,455,460,2017,5,42.47,-76.45,5.0,long,51010_SSW_460,SSW,nocall
2260,51010_SSW_20170513.ogg,balori bkcchi,,500,505,2017,5,42.47,-76.45,5.0,long,51010_SSW_505,SSW,bkcchi
2261,51010_SSW_20170513.ogg,balori bkcchi,,505,510,2017,5,42.47,-76.45,5.0,long,51010_SSW_510,SSW,balori
2262,51010_SSW_20170513.ogg,balori bkcchi,,510,515,2017,5,42.47,-76.45,5.0,long,51010_SSW_515,SSW,balori
2266,51010_SSW_20170513.ogg,balori bkcchi,,530,535,2017,5,42.47,-76.45,5.0,long,51010_SSW_535,SSW,bkcchi
2267,51010_SSW_20170513.ogg,bkcchi rebwoo,,535,540,2017,5,42.47,-76.45,5.0,long,51010_SSW_540,SSW,bkcchi
2272,51010_SSW_20170513.ogg,bkcchi norcar,,560,565,2017,5,42.47,-76.45,5.0,long,51010_SSW_565,SSW,bkcchi
2273,51010_SSW_20170513.ogg,bkcchi norcar,,565,570,2017,5,42.47,-76.45,5.0,long,51010_SSW_570,SSW,bkcchi
2274,51010_SSW_20170513.ogg,norcar,,570,575,2017,5,42.47,-76.45,5.0,long,51010_SSW_575,SSW,nocall
2275,51010_SSW_20170513.ogg,bkcchi,,575,580,2017,5,42.47,-76.45,5.0,long,51010_SSW_580,SSW,nocall
2346,54955_SSW_20170617.ogg,chswar,,330,335,2017,6,42.47,-76.45,5.0,long,54955_SSW_335,SSW,nocall
2348,54955_SSW_20170617.ogg,nocall,,340,345,2017,6,42.47,-76.45,5.0,long,54955_SSW_345,SSW,chswar
2375,54955_SSW_20170617.ogg,ovenbi1,,475,480,2017,6,42.47,-76.45,5.0,long,54955_SSW_480,SSW,nocall
